NAME,0,1,2,3,4,5,6,7,8,9,10,11,
Yucca elephantipes,,,,,,,1,1,1,,,,https://en.wikipedia.org/wiki/Yucca_gigantea
Cistus senensis,,1,1,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Cistus
Persea americana,1,1,,,,,,,,,,,https://en.wikipedia.org/wiki/Avocado
Fatsia japonica,,,,,,,,,1,1,1,1,https://en.wikipedia.org/wiki/Fatsia_japonica
Quercus faginea,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Quercus_faginea
Cestrum elegans,1,1,1,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Cestrum_elegans
Malus sp,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Malus
Phytolacca dioica,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Phytolacca_dioica
Poncirus trifoliata,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Trifoliate_orange
Solanum rantonetti,,,,,,1,1,1,1,1,,,https://en.wikipedia.org/wiki/Lycianthes_rantonnetii
Acer sp,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Maple
Acer saccharinum,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Acer_saccharinum
Populus tremula,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Populus_tremula
Acacia sp,1,1,1,,1,1,,,,,,,https://en.wikipedia.org/wiki/Acacia
Opuntia sebulata,,,,,,1,1,1,1,1,1,,https://en.wikipedia.org/wiki/Austrocylindropuntia_subulata
Ligustrum vulgare,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Ligustrum_vulgare
Celtis sp,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Celtis
Albizia sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Albizia
Ziziphus sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Ziziphus
Acacia saligna,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Acacia_saligna
Euphorbia tirucalli,1,,,,,,,,,1,1,1,https://en.wikipedia.org/wiki/Euphorbia_tirucalli
Laburnum anagyroides,,,,,1,,,,,,,,https://en.wikipedia.org/wiki/Laburnum_anagyroides
Annona cherimola,,1,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Cherimoya
Retama sphaerocarpa,,,,1,1,1,1,,,,,,https://en.wikipedia.org/wiki/Retama
Robinia pseudoacacia Casque Rouge,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Robinia_pseudoacacia
Casuarina cuninghamiana,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Casuarina_cunninghamiana
Prunus armeniaca,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Prunus_armeniaca
Eucalyptus camaldulensis,,,,1,1,1,1,,,,,,https://en.wikipedia.org/wiki/Eucalyptus_camaldulensis
Ulmus glabra,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Ulmus_glabra
Acacia retinoides,,1,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Acacia_retinodes
Myoporum acuminatum,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Myoporum_acuminatum
Acer pseudoplatanus,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Acer_pseudoplatanus
Cupressocyparis leylandii,1,1,1,1,1,1,,,,,1,1,https://en.wikipedia.org/wiki/Leyland_cypress
Viburnum sp,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Viburnum
Ginkgo biloba,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Ginkgo_biloba
Taxodium distichum,,1,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Taxodium_distichum
